1=Болеслав, Суворов, м, 1, 380933538518, Life
107=Вильгельм, Иванов, м, 57, 380503675642, Kyivstar
108=Алёна, Тарасова, ж, 21, 380731114786, Life
109=Мелитта, Цветкова, ж, 19, 380504714494, Vodafone
110=Аскольд, Муравьёв, м, 52, 380507034729, Kyivstar
111=Алла, Киселева, ж, 18, 380957988390, Vodafone
112=Арон, Афанасьев, м, 23, 380956815241, Vodafone
113=Ника, Сорокина, ж, 68, 380958340258, Vodafone
114=Камилла, Медведева, ж, 63, 380508076193, Vodafone
115=Автандил, Симонов, м, 36, 380509882327, Kyivstar
116=Леонид, Афанасьев, м, 2, 380507117831, Vodafone
117=Василиса, Титова, ж, 25, 380508201723, Vodafone
118=Виолетта, Фролова, ж, 70, 380669400602, Vodafone
119=Раду, Прохоров, м, 64, 380663464218, Vodafone
120=Гражина, Андреева, ж, 12, 380953387280, Vodafone
121=Азалия, Куликова, ж, 70, 380956329021, Kyivstar
122=Ратибор, Мельников, м, 46, 380736320897, Life
123=Митрофаний, Сафонов, м, 32, 380959354082, Vodafone
124=Олан, Зимин, м, 16, 380504294224, Kyivstar
125=Платон, Воробьёв, м, 13, 380666619227, Kyivstar
126=Спартак, Фёдоров, м, 13, 380501530027, Kyivstar
127=Виктор, Шарапов, м, 55, 380632623552, Life
128=Сабир, Горшков, м, 10, 380668136028, Kyivstar
129=Диана, Кудрявцева, ж, 62, 380958123866, Kyivstar
130=Ванесса, Андреева, ж, 64, 380738724524, Life
131=Снежана, Журавлева, ж, 12, 380505472553, Kyivstar
132=Жанна, Панина, ж, 63, 380631193783, Life
133=Мелитта, Молчанова, ж, 19, 380664186080, Vodafone
134=Нега, Никифорова, ж, 47, 380503656854, Kyivstar
135=Эрик, Игнатьев, м, 40, 380664929501, Kyivstar
136=Милолика, Ильина, ж, 45, 380661973162, Kyivstar
137=Филипп, Евдокимов, м, 65, 380668837623, Vodafone
138=Иосиф, Симонов, м, 20, 380736589181, Life
139=Варвара, Сидорова, ж, 6, 380506110138, Kyivstar
140=Игнатий, Летов, м, 18, 380663426780, Vodafone
141=Людмила, Жукова, ж, 16, 380668115841, Kyivstar
142=Моника, Ковалёва, ж, 68, 380505371237, Vodafone
143=Христофор, Трофимов, м, 34, 380632820192, Life
144=Дания, Журавлева, ж, 29, 380509505715, Vodafone
145=Алексей, Рябов, м, 45, 380666210793, Kyivstar
146=Мартин, Фомичёв, м, 69, 380666614913, Vodafone
147=Веселина, Комарова, ж, 40, 380639536996, Life
148=Гарри, Филиппов, м, 51, 380504637853, Kyivstar
149=Розалина, Морозова, ж, 68, 380935602662, Life
150=Верона, Егорова, ж, 9, 380959688261, Kyivstar
151=Прасковья, Зайцева, ж, 36, 380954055235, Vodafone
152=Марк, Горбачёв, м, 37, 380662980695, Vodafone
153=Валентина, Антонова, ж, 43, 380505599621, Kyivstar
154=Радослава, Комарова, ж, 55, 380956501545, Vodafone
155=Аксинья, Ефимова, ж, 35, 380631331970, Life
156=Рафаэль, Лихачёв, м, 13, 380662546315, Kyivstar
157=Захар, Терентьев, м, 34, 380666936309, Vodafone
158=Жаклин, Виноградова, ж, 41, 380504307992, Vodafone
159=Геральд, Меркушев, м, 17, 380504316097, Kyivstar
160=Дэнна, Матвеева, ж, 9, 380664546090, Vodafone
161=Ясон, Новиков, м, 13, 380733343067, Life
162=Савелий, Зимин, м, 64, 380667991925, Kyivstar
163=Дарьяна, Новикова, ж, 26, 380662797406, Kyivstar
164=Елена, Орлова, ж, 8, 380508552878, Kyivstar
165=Венера, Степанова, ж, 34, 380666246094, Vodafone
166=Алира, Боброва, ж, 67, 380958566909, Kyivstar
167=Дария, Иванова, ж, 41, 380664560378, Vodafone
168=Дария, Семенова, ж, 10, 380954328300, Kyivstar
169=Евгений, Костин, м, 18, 380667008686, Vodafone
170=Иоланта, Петрова, ж, 65, 380508856573, Kyivstar
171=Фуад, Коновалов, м, 69, 380664377893, Kyivstar
172=Владлена, Андреева, ж, 14, 380731412775, Life
173=Ильнар, Романов, м, 33, 380958373701, Vodafone
174=Алевтина, Лазарева, ж, 32, 380732580773, Life
175=Лунара, Щербакова, ж, 21, 380505630000, Kyivstar
176=Самвел, Тимофеев, м, 54, 380934825963, Life
177=Альвина, Федотова, ж, 54, 380667017418, Kyivstar
178=Александра, Максимова, ж, 46, 380955319737, Kyivstar
179=Дарий, Владимиров, м, 51, 380934582896, Life
180=Беатриса, Баранова, ж, 50, 380669475292, Kyivstar
181=Гарри, Давыдов, м, 57, 380959374934, Kyivstar
182=Самвел, Воробьёв, м, 12, 380954078872, Kyivstar
183=Милда, Смирнова, ж, 31, 380952613293, Vodafone
184=Арно, Сорокин, м, 69, 380507120191, Kyivstar
185=Азиза, Денисова, ж, 30, 380663147275, Kyivstar
186=Вера, Пугачева, ж, 8, 380509426853, Vodafone
187=Фидель, Афанасьев, м, 25, 380505913300, Vodafone
188=Генрих, Белов, м, 23, 380931989716, Life
189=Игорь, Гущин, м, 14, 380937150354, Life
190=Гертруда, Щербакова, ж, 65, 380639429696, Life
191=Архип, Козлов, м, 26, 380951460998, Kyivstar
192=Доминика, Белова, ж, 54, 380506401211, Vodafone
193=Эдуард, Кондратьев, м, 5, 380669415945, Kyivstar
194=Тала, Федотова, ж, 25, 380954853420, Vodafone
195=Феодосий, Харченко, м, 30, 380958291860, Vodafone
196=Симона, Калинина, ж, 56, 380507977666, Vodafone
197=Равиль, Герасимов, м, 6, 380931704837, Life
198=Рамазан, Иванов, м, 14, 380931358006, Life
199=Милана, Федорова, ж, 63, 380938356164, Life
200=Мирослав, Киселёв, м, 26, 380661311416, Vodafone
