1, Гелана, Суханова, ж, 5, 380504500673, Vodafone
35, Зинаида, Кудрявцева, ж, 42, 380669379743, Vodafone
36, Хасан, Меркушев, м, 56, 380937700905, Life
37, Татьяна, Козлова, ж, 2, 380506866431, Kyivstar
38, Инга, Большакова, ж, 2, 380633141006, Life
39, Еремей, Кириллов, м, 42, 380668763266, Vodafone
40, Дебора, Андреева, ж, 25, 380739259437, Life
41, Еремей, Селезнёв, м, 2, 380503503618, Kyivstar
42, Вячеслав, Шаров, м, 23, 380956170116, Kyivstar
43, Руслана, Ершова, ж, 41, 380733673833, Life
44, Николь, Беляева, ж, 65, 380735103276, Life
45, Арон, Беляков, м, 54, 380952581034, Vodafone
46, Бежен, Овчинников, м, 4, 380505267287, Kyivstar
47, Айдар, Поляков, м, 61, 380937198216, Life
48, Оскар, Смирнов, м, 11, 380668933014, Vodafone
49, Фидель, Калинин, м, 50, 380957696897, Vodafone
50, Али, Комаров, м, 45, 380634244405, Life
51, Версавия, Кузнецова, ж, 65, 380668934754, Vodafone
52, Селена, Васильева, ж, 63, 380931681844, Life
53, Ева, Тимофеева, ж, 24, 380666204214, Kyivstar
54, Сабрина, Белоусова, ж, 31, 380738808926, Life
55, Римма, Богданова, ж, 25, 380958267647, Kyivstar
56, Родион, Воробьёв, м, 70, 380664918653, Vodafone
57, Гурий, Дроздов, м, 47, 380664205808, Kyivstar
58, Валерия, Дмитриева, ж, 14, 380951461632, Kyivstar
59, Илена, Волкова, ж, 61, 380509888394, Kyivstar
60, Лина, Пономарева, ж, 15, 380501686743, Vodafone
61, Даниил, Соловьёв, м, 52, 380666939068, Vodafone
62, Милолика, Белова, ж, 54, 380953753827, Vodafone
63, Габриэлла, Смирнова, ж, 19, 380956912010, Kyivstar
64, Доля, Николаева, ж, 52, 380509688289, Kyivstar
65, Юлиан, Крылов, м, 19, 380937023056, Life
66, Елизавета, Волкова, ж, 61, 380509939127, Kyivstar
67, Рамина, Воробьева, ж, 7, 380666185688, Kyivstar
68, Сабир, Беляков, м, 24, 380951974744, Vodafone
69, Арон, Киселёв, м, 18, 380939290638, Life
70, Авраам, Беспалов, м, 17, 380731304996, Life
71, Азалия, Романова, ж, 22, 380638637567, Life
72, Глеб, Титов, м, 31, 380952553296, Vodafone
73, Муслим, Волков, м, 8, 380636178296, Life
74, Александра, Максимова, ж, 18, 380959719179, Kyivstar
75, Доминика, Тарасова, ж, 6, 380953763248, Vodafone
76, Доминика, Титова, ж, 35, 380632569581, Life
77, Илена, Зайцева, ж, 30, 380638896269, Life
78, Макарий, Якушев, м, 51, 380663176219, Vodafone
79, Диана, Мельникова, ж, 60, 380733597724, Life
80, Роксана, Панина, ж, 34, 380501976768, Vodafone
81, Виргиния, Давыдова, ж, 43, 380737851691, Life
82, Виктория, Борисова, ж, 57, 380667379163, Kyivstar
83, Герда, Яковалева, ж, 5, 380938770390, Life
84, Полина, Новикова, ж, 27, 380956851195, Kyivstar
85, Герда, Блинова, ж, 6, 380738047368, Life
86, Ясон, Дан, м, 66, 380636641663, Life
87, Мила, Ершова, ж, 9, 380638490760, Life
88, Сильвия, Мельникова, ж, 69, 380953764714, Kyivstar
89, Диодора, Филиппова, ж, 44, 380668428868, Vodafone
90, Венедикт, Колобов, м, 18, 380736645593, Life
91, Лариса, Медведева, ж, 46, 380661562581, Vodafone
92, Инга, Васильева, ж, 25, 380666873877, Vodafone
93, Денис, Ковалёв, м, 67, 380503402566, Kyivstar
94, Амвросий, Ковалёв, м, 12, 380664839364, Vodafone
95, Иосиф, Муравьёв, м, 8, 380639773973, Life
96, Клара, Осипова, ж, 61, 380735636157, Life
97, Сергей, Суханов, м, 69, 380665997294, Vodafone
98, Арман, Потапов, м, 50, 380503512069, Kyivstar
99, Мэри, Федорова, ж, 11, 380933261276, Life
100, Номи, Романова, ж, 39, 380503313321, Vodafone
101, Таисия, Андреева, ж, 7, 380504392289, Vodafone
102, Данута, Петухова, ж, 3, 380664828636, Kyivstar
103, Ждан, Зайцев, м, 38, 380631694230, Life
104, Верона, Васильева, ж, 11, 380955672140, Kyivstar
105, Леся, Ильина, ж, 18, 380668784041, Kyivstar
106, Борислава, Пономарева, ж, 16, 380501361132, Kyivstar
107, Султан, Зимин, м, 21, 380955380175, Vodafone
108, Виталий, Исаев, м, 28, 380731542582, Life
109, Рамина, Миронова, ж, 5, 380735814745, Life
110, Лия, Александрова, ж, 68, 380664901378, Vodafone
111, Лика, Голубева, ж, 36, 380956634913, Kyivstar
112, Яромир, Агафонов, м, 63, 380666143635, Vodafone
113, ОлесяАлесяОктябрина, Захарова, ж, 9, 380669034978, Kyivstar
114, Иоланта, Макарова, ж, 14, 380955590031, Vodafone
115, Макарий, Фёдоров, м, 65, 380501017878, Kyivstar
116, Фома, Тарасов, м, 9, 380506336940, Vodafone
117, Илзе, Фомина, ж, 63, 380959123294, Vodafone
118, Дана, Фомина, ж, 36, 380637647291, Life
119, Антон, Шубин, м, 18, 380661279292, Kyivstar
120, Тимур, Архипов, м, 21, 380509218362, Vodafone
121, Жаклин, Белоусова, ж, 19, 380667835349, Vodafone
122, Геннадий, Трофимов, м, 64, 380662240390, Kyivstar
123, Владлена, Денисова, ж, 65, 380505116946, Kyivstar
124, Магда, Фомина, ж, 52, 380501707676, Vodafone
125, Карина, Егорова, ж, 45, 380506905252, Kyivstar
126, Евсевий, Морозов, м, 27, 380631273004, Life
127, Марьяна, Панина, ж, 35, 380665090278, Vodafone
128, Лигия, Максимова, ж, 44, 380639046512, Life
129, Александра, Петухова, ж, 53, 380935371772, Life
130, Овидий, Антонов, м, 6, 380636131781, Life
131, Равиль, Блохин, м, 12, 380635289378, Life
132, Кара, Ефимова, ж, 58, 380951364737, Kyivstar
133, Иосиф, Бобров, м, 69, 380667052075, Vodafone
134, Семён, Мельников, м, 36, 380953675094, Vodafone
135, Клавдия, Степанова, ж, 1, 380502606610, Vodafone
136, Клара, Федорова, ж, 15, 380662725381, Kyivstar
137, Инара, Смирнова, ж, 56, 380956135634, Vodafone
138, Тимофей, Некрасов, м, 43, 380502999212, Kyivstar
139, Яким, Медведев, м, 56, 380509708480, Kyivstar
140, Авраам, Кузьмин, м, 65, 380953308332, Vodafone
141, Биргит, Захарова, ж, 20, 380732120973, Life
142, Лилия, Блинова, ж, 52, 380632767029, Life
143, Данияр, Суханов, м, 51, 380951055424, Kyivstar
144, Милда, Комарова, ж, 12, 380506642897, Kyivstar
145, Емельян, Доронин, м, 23, 380957567903, Kyivstar
146, Астра, Маркова, ж, 13, 380956134509, Kyivstar
147, Ипполит, Шашков, м, 20, 380507567152, Kyivstar
148, Викентий, Казаков, м, 52, 380666049416, Kyivstar
149, Мартина, Смирнова, ж, 44, 380665387910, Vodafone
150, Умар, Жуков, м, 28, 380734560005, Life
151, Ясон, Субботин, м, 70, 380952781240, Vodafone
152, Илларион, Ефремов, м, 21, 380631700076, Life
153, Кара, Андреева, ж, 47, 380733645335, Life
154, Карл, Терентьев, м, 14, 380667031611, Kyivstar
155, Эмир, Сазонов, м, 2, 380638602574, Life
156, Вячеслав, Селивёрстов, м, 64, 380939959084, Life
157, Арман, Бирюков, м, 29, 380635092025, Life
158, Мелитта, Комарова, ж, 48, 380664497696, Kyivstar
159, Даниэль, Данилов, м, 39, 380504991360, Kyivstar
160, Ксения, Романова, ж, 51, 380509912357, Kyivstar
161, Макарий, Захаров, м, 9, 380957908093, Kyivstar
162, Гелана, Панина, ж, 36, 380634535776, Life
163, Айлин, Виноградова, ж, 52, 380504187304, Kyivstar
164, Марьяна, Новикова, ж, 39, 380958246876, Kyivstar
165, Эмин, Гурьев, м, 64, 380663371452, Kyivstar
166, Дмитрий, Третьяков, м, 63, 380933544902, Life
167, Салим, Фёдоров, м, 33, 380664317660, Kyivstar
168, Мальта, Николаева, ж, 48, 380739889870, Life
169, Иветта, Анисимова, ж, 46, 380951428775, Vodafone
170, Елисей, Куликов, м, 31, 380668996679, Vodafone
171, Ада, Путина, ж, 14, 380507486775, Vodafone
172, Алей, Марков, м, 31, 380938067985, Life
173, Степан, Гришин, м, 27, 380669390545, Vodafone
174, Карим, Буров, м, 30, 380951530117, Kyivstar
175, Залина, Никифорова, ж, 58, 380661694797, Vodafone
176, Вилора, Колесникова, ж, 2, 380631696589, Life
177, Витольд, Кудрявцев, м, 33, 380638222841, Life
178, Любава, Ершова, ж, 48, 380957925432, Vodafone
179, Ратибор, Белозёров, м, 67, 380956183207, Kyivstar
180, Анфиса, Соловаьева, ж, 67, 380955259370, Vodafone
181, Агап, Елисеев, м, 7, 380959158519, Kyivstar
182, Малика, Новикова, ж, 45, 380508241987, Vodafone
183, Дамир, Ермаков, м, 38, 380953054819, Vodafone
184, Кармелитта, Ковалёва, ж, 60, 380939588398, Life
185, Олан, Архипов, м, 54, 380735600454, Life
186, Ярослав, Алексеев, м, 33, 380665655500, Kyivstar
187, Авигея, Куликова, ж, 24, 380663265919, Kyivstar
188, Равиль, Мартынов, м, 41, 380937204776, Life
189, Стелла, Суханова, ж, 70, 380736539482, Life
190, Владислава, Богданова, ж, 31, 380734779691, Life
191, Даша, Пономарева, ж, 54, 380502338182, Kyivstar
192, Аслан, Кошелев, м, 67, 380959130074, Vodafone
193, Азамат, Миронов, м, 20, 380666959718, Vodafone
194, Мериса, Громова, ж, 42, 380666507526, Vodafone
195, Наталья, Васильева, ж, 26, 380956388045, Vodafone
196, Савелий, Артемьев, м, 25, 380959328666, Vodafone
197, Руслана, Кузьмина, ж, 14, 380954953887, Vodafone
198, Оксана, Жукова, ж, 60, 380503657208, Vodafone
199, Амаяк, Рожков, м, 30, 380505321171, Kyivstar
200, Антонина, Веселова, ж, 23, 380938191159, Life
